golden_provider_id,source_system,provider_id_source,npi,updated_at,mapped_at
GPROV0000018,CRM_B,CRM_B_P_PROV_00010_336,,2025-12-19T04:06:21,2026-02-05T15:23:21
GPROV0000019,CRM_A,CRM_A_P_PROV_00010_104,,2025-10-20T01:19:38,2026-02-05T15:23:21
GPROV0000020,CRM_A,CRM_A_P_PROV_00011_486,,2025-12-13T12:36:58,2026-02-05T15:23:21
GPROV0000021,CRM_B,CRM_B_P_PROV_00011_254,,2025-10-11T20:44:16,2026-02-05T15:23:21
GPROV0000022,CRM_A,CRM_A_P_PROV_00012_750,1338258951.0,2026-02-09T03:09:18,2026-02-05T15:23:21
GPROV0000022,CRM_B,CRM_B_P_PROV_00012_816,1338258951.0,2025-10-18T06:15:54,2026-02-05T15:23:21
GPROV0000023,CRM_A,CRM_A_P_PROV_00013_612,7900268326.0,2026-02-14T16:57:28,2026-02-05T15:23:21
GPROV0000023,CRM_B,CRM_B_P_PROV_00013_653,7900268326.0,2025-12-16T14:43:57,2026-02-05T15:23:21
GPROV0000024,CRM_A,CRM_A_P_PROV_00014_344,1965067727.0,2025-11-22T03:44:25,2026-02-05T15:23:22
GPROV0000024,CRM_B,CRM_B_P_PROV_00014_417,1965067727.0,2025-12-31T15:47:09,2026-02-05T15:23:22
GPROV0000025,CRM_A,CRM_A_P_PROV_00015_338,6317189421.0,2025-12-08T00:50:13,2026-02-05T15:23:22
GPROV0000025,CRM_B,CRM_B_P_PROV_00015_873,6317189421.0,2025-12-09T11:49:16,2026-02-05T15:23:22
GPROV0000026,CRM_A,CRM_A_P_PROV_00016_409,7146318035.0,2026-01-02T11:34:05,2026-02-05T15:23:22
GPROV0000026,CRM_B,CRM_B_P_PROV_00016_654,7146318035.0,2026-01-08T19:41:42,2026-02-05T15:23:22
GPROV0000026,CRM_B,CRM_B_P_PROV_00016_835,7146318035.0,2025-10-23T02:51:01,2026-02-05T15:23:22
GPROV0000027,CRM_A,CRM_A_P_PROV_00017_689,7598297060.0,2026-02-04T20:07:40,2026-02-05T15:23:22
GPROV0000027,CRM_B,CRM_B_P_PROV_00017_315,7598297060.0,2025-12-17T02:57:48,2026-02-05T15:23:22
GPROV0000028,CRM_A,CRM_A_P_PROV_00018_693,,2026-01-01T23:03:25,2026-02-05T15:23:22
GPROV0000029,CRM_B,CRM_B_P_PROV_00018_286,,2025-11-21T02:12:16,2026-02-05T15:23:22
GPROV0000030,CRM_A,CRM_A_P_PROV_00019_235,6971815972.0,2025-11-29T09:06:45,2026-02-05T15:23:22
GPROV0000031,CRM_A,CRM_A_P_PROV_00020_567,9851745355.0,2025-11-17T07:50:00,2026-02-05T15:23:22
GPROV0000031,CRM_B,CRM_B_P_PROV_00020_703,9851745355.0,2025-12-03T06:54:08,2026-02-05T15:23:22
GPROV0000032,CRM_A,CRM_A_P_PROV_00021_466,6305160342.0,2026-01-28T08:01:03,2026-02-05T15:23:22
GPROV0000033,CRM_B,CRM_B_P_PROV_00021_153,,2025-10-07T15:09:06,2026-02-05T15:23:22
GPROV0000034,CRM_A,CRM_A_P_PROV_00022_123,2119980130.0,2025-12-03T15:35:28,2026-02-05T15:23:23
GPROV0000034,CRM_B,CRM_B_P_PROV_00022_796,2119980130.0,2026-01-02T15:42:30,2026-02-05T15:23:23
GPROV0000035,CRM_A,CRM_A_P_PROV_00023_295,2139027119.0,2025-12-19T01:40:34,2026-02-05T15:23:23
GPROV0000036,CRM_B,CRM_B_P_PROV_00023_832,,2026-01-04T06:23:38,2026-02-05T15:23:23
GPROV0000037,CRM_A,CRM_A_P_PROV_00024_371,7676965974.0,2026-01-31T10:01:46,2026-02-05T15:23:23
GPROV0000037,CRM_B,CRM_B_P_PROV_00024_692,7676965974.0,2026-01-22T19:43:03,2026-02-05T15:23:23
GPROV0000038,CRM_A,CRM_A_P_PROV_00025_458,,2025-12-11T23:36:01,2026-02-05T15:23:23
GPROV0000039,CRM_A,CRM_A_P_PROV_00026_520,8856990236.0,2026-02-18T12:09:41,2026-02-05T15:23:23
GPROV0000039,CRM_B,CRM_B_P_PROV_00026_128,8856990236.0,2025-11-27T09:30:26,2026-02-05T15:23:23
GPROV0000040,CRM_A,CRM_A_P_PROV_00027_592,3373077218.0,2026-01-21T17:48:44,2026-02-05T15:23:23
GPROV0000040,CRM_B,CRM_B_P_PROV_00027_894,3373077218.0,2026-01-09T02:24:29,2026-02-05T15:23:23
GPROV0000041,CRM_A,CRM_A_P_PROV_00028_263,,2025-11-24T04:51:41,2026-02-05T15:23:23
GPROV0000042,CRM_B,CRM_B_P_PROV_00028_277,,2025-10-25T09:04:38,2026-02-05T15:23:23
GPROV0000043,CRM_A,CRM_A_P_PROV_00029_691,,2026-01-21T06:42:13,2026-02-05T15:23:23
GPROV0000044,CRM_B,CRM_B_P_PROV_00029_180,,2026-02-02T12:09:15,2026-02-05T15:23:23
GPROV0000045,CRM_A,CRM_A_P_PROV_00030_250,,2025-12-23T21:04:14,2026-02-05T15:23:23
GPROV0000046,CRM_B,CRM_B_P_PROV_00030_507,,2026-01-01T21:31:28,2026-02-05T15:23:23
GPROV0000047,CRM_A,CRM_A_P_PROV_00031_515,,2025-11-20T21:28:34,2026-02-05T15:23:24
GPROV0000048,CRM_B,CRM_B_P_PROV_00031_274,,2026-01-03T13:55:00,2026-02-05T15:23:24
GPROV0000049,CRM_A,CRM_A_P_PROV_00032_885,,2025-11-21T09:27:28,2026-02-05T15:23:24
GPROV0000050,CRM_B,CRM_B_P_PROV_00032_605,,2025-12-19T05:28:23,2026-02-05T15:23:24
GPROV0000051,CRM_B,CRM_B_P_PROV_00032_334,,2025-11-20T18:22:03,2026-02-05T15:23:24
GPROV0000052,CRM_A,CRM_A_P_PROV_00033_735,,2026-01-04T04:36:18,2026-02-05T15:23:24
GPROV0000053,CRM_B,CRM_B_P_PROV_00033_785,,2025-10-19T06:21:28,2026-02-05T15:23:24
GPROV0000054,CRM_A,CRM_A_P_PROV_00034_258,3196545325.0,2026-02-05T22:16:28,2026-02-05T15:23:24
GPROV0000054,CRM_B,CRM_B_P_PROV_00034_872,3196545325.0,2025-10-19T16:45:33,2026-02-05T15:23:24
GPROV0000055,CRM_A,CRM_A_P_PROV_00035_707,2852408227.0,2025-12-10T02:38:25,2026-02-05T15:23:24
GPROV0000055,CRM_B,CRM_B_P_PROV_00035_539,2852408227.0,2026-01-20T21:08:31,2026-02-05T15:23:24
GPROV0000056,CRM_A,CRM_A_P_PROV_00036_268,8289454630.0,2025-12-03T07:48:19,2026-02-05T15:23:24
GPROV0000056,CRM_A,CRM_A_P_PROV_00036_213,8289454630.0,2025-12-08T12:56:10,2026-02-05T15:23:24
GPROV0000057,CRM_A,CRM_A_P_PROV_00037_946,8106906538.0,2025-12-28T03:31:17,2026-02-05T15:23:24
GPROV0000057,CRM_B,CRM_B_P_PROV_00037_845,8106906538.0,2025-10-10T06:51:05,2026-02-05T15:23:24
GPROV0000058,CRM_B,CRM_B_P_PROV_00037_750,,2025-12-28T16:59:36,2026-02-05T15:23:24
GPROV0000059,CRM_A,CRM_A_P_PROV_00038_631,4226113732.0,2025-12-28T01:17:16,2026-02-05T15:23:25
GPROV0000059,CRM_B,CRM_B_P_PROV_00038_630,4226113732.0,2025-12-27T15:50:44,2026-02-05T15:23:25
GPROV0000059,CRM_A,CRM_A_P_PROV_00038_376,4226113732.0,2025-11-25T03:09:18,2026-02-05T15:23:25
GPROV0000060,CRM_A,CRM_A_P_PROV_00039_151,8285786023.0,2026-02-01T13:17:21,2026-02-05T15:23:25
GPROV0000060,CRM_B,CRM_B_P_PROV_00039_394,8285786023.0,2025-12-13T19:19:02,2026-02-05T15:23:25
GPROV0000060,CRM_A,CRM_A_P_PROV_00039_336,8285786023.0,2026-02-04T22:45:14,2026-02-05T15:23:25
GPROV0000061,CRM_A,CRM_A_P_PROV_00040_202,,2026-01-01T01:02:13,2026-02-05T15:23:25
GPROV0000062,CRM_B,CRM_B_P_PROV_00040_364,,2025-12-27T21:33:38,2026-02-05T15:23:25
GPROV0000063,CRM_B,CRM_B_P_PROV_00040_322,,2025-11-18T15:50:47,2026-02-05T15:23:25
GPROV0000064,CRM_A,CRM_A_P_PROV_00041_267,8995059760.0,2026-01-01T07:37:57,2026-02-05T15:23:25
GPROV0000064,CRM_B,CRM_B_P_PROV_00041_906,8995059760.0,2025-10-11T06:26:02,2026-02-05T15:23:25
GPROV0000065,CRM_A,CRM_A_P_PROV_00042_355,6737421496.0,2025-10-08T20:57:24,2026-02-05T15:23:25
GPROV0000065,CRM_B,CRM_B_P_PROV_00042_836,6737421496.0,2026-02-03T22:24:09,2026-02-05T15:23:25
GPROV0000066,CRM_A,CRM_A_P_PROV_00043_751,1267429212.0,2025-11-23T22:34:34,2026-02-05T15:23:25
GPROV0000066,CRM_B,CRM_B_P_PROV_00043_774,1267429212.0,2025-12-26T14:29:53,2026-02-05T15:23:25
GPROV0000067,CRM_A,CRM_A_P_PROV_00044_227,4856070374.0,2025-12-30T17:32:53,2026-02-05T15:23:25
GPROV0000067,CRM_B,CRM_B_P_PROV_00044_736,4856070374.0,2025-11-23T15:46:43,2026-02-05T15:23:25
GPROV0000068,CRM_A,CRM_A_P_PROV_00045_974,,2025-12-25T02:34:04,2026-02-05T15:23:25
GPROV0000069,CRM_B,CRM_B_P_PROV_00045_302,,2025-12-24T07:19:49,2026-02-05T15:23:25
GPROV0000070,CRM_B,CRM_B_P_PROV_00045_151,,2025-11-16T16:22:38,2026-02-05T15:23:25
GPROV0000071,CRM_A,CRM_A_P_PROV_00046_122,6923206003.0,2025-12-29T06:38:22,2026-02-05T15:23:25
GPROV0000072,CRM_B,CRM_B_P_PROV_00046_228,,2025-12-15T22:12:09,2026-02-05T15:23:25
GPROV0000073,CRM_A,CRM_A_P_PROV_00047_474,,2025-10-25T22:55:32,2026-02-05T15:23:25
GPROV0000074,CRM_A,CRM_A_P_PROV_00048_153,,2026-01-01T00:52:20,2026-02-05T15:23:25
GPROV0000075,CRM_B,CRM_B_P_PROV_00048_480,,2025-11-17T18:16:04,2026-02-05T15:23:26
GPROV0000076,CRM_A,CRM_A_P_PROV_00049_622,4518871744.0,2025-10-25T20:46:04,2026-02-05T15:23:26
GPROV0000076,CRM_B,CRM_B_P_PROV_00049_457,4518871744.0,2025-10-12T23:10:52,2026-02-05T15:23:26
GPROV0000077,CRM_A,CRM_A_P_PROV_00050_360,,2025-11-08T12:40:06,2026-02-05T15:23:26
GPROV0000078,CRM_A,CRM_A_P_PROV_00051_978,,2025-10-31T06:49:44,2026-02-05T15:23:26
GPROV0000079,CRM_B,CRM_B_P_PROV_00051_351,,2025-12-31T09:02:42,2026-02-05T15:23:26
GPROV0000080,CRM_A,CRM_A_P_PROV_00052_993,,2025-10-19T21:14:50,2026-02-05T15:23:26
GPROV0000081,CRM_B,CRM_B_P_PROV_00052_396,,2025-12-26T22:26:42,2026-02-05T15:23:26
GPROV0000082,CRM_B,CRM_B_P_PROV_00052_809,,2025-11-09T16:06:05,2026-02-05T15:23:26
GPROV0000083,CRM_A,CRM_A_P_PROV_00053_883,7839626408.0,2026-02-09T19:58:40,2026-02-05T15:23:26
GPROV0000083,CRM_B,CRM_B_P_PROV_00053_200,7839626408.0,2025-12-02T03:40:04,2026-02-05T15:23:26
GPROV0000084,CRM_A,CRM_A_P_PROV_00054_495,2395925222.0,2025-12-31T09:43:52,2026-02-05T15:23:26
GPROV0000085,CRM_A,CRM_A_P_PROV_00055_190,4256292393.0,2025-12-06T04:27:17,2026-02-05T15:23:26
GPROV0000086,CRM_B,CRM_B_P_PROV_00055_876,,2025-12-24T09:23:04,2026-02-05T15:23:26
GPROV0000087,CRM_A,CRM_A_P_PROV_00056_112,7575259637.0,2025-12-19T06:31:51,2026-02-05T15:23:26
GPROV0000088,CRM_B,CRM_B_P_PROV_00056_558,,2025-10-17T13:23:05,2026-02-05T15:23:26
GPROV0000089,CRM_A,CRM_A_P_PROV_00057_628,1795212538.0,2026-01-04T08:40:00,2026-02-05T15:23:27
GPROV0000089,CRM_B,CRM_B_P_PROV_00057_878,1795212538.0,2025-10-14T05:00:33,2026-02-05T15:23:27
GPROV0000090,CRM_A,CRM_A_P_PROV_00058_454,,2025-12-02T10:26:29,2026-02-05T15:23:27
GPROV0000091,CRM_A,CRM_A_P_PROV_00059_369,8528185058.0,2025-12-22T21:03:55,2026-02-05T15:23:27
GPROV0000091,CRM_B,CRM_B_P_PROV_00059_462,8528185058.0,2025-12-12T12:52:38,2026-02-05T15:23:27
GPROV0000092,CRM_A,CRM_A_P_PROV_00060_312,,2025-10-26T10:39:07,2026-02-05T15:23:27
GPROV0000093,CRM_A,CRM_A_P_PROV_00061_314,8578226896.0,2025-10-10T01:10:19,2026-02-05T15:23:27
GPROV0000093,CRM_B,CRM_B_P_PROV_00061_118,8578226896.0,2025-10-26T15:08:53,2026-02-05T15:23:27
GPROV0000094,CRM_A,CRM_A_P_PROV_00062_959,3667292043.0,2025-11-30T06:26:37,2026-02-05T15:23:27
GPROV0000095,CRM_B,CRM_B_P_PROV_00062_445,,2025-10-23T13:23:46,2026-02-05T15:23:27
GPROV0000096,CRM_A,CRM_A_P_PROV_00063_619,5306459450.0,2025-12-29T02:28:53,2026-02-05T15:23:27
GPROV0000096,CRM_B,CRM_B_P_PROV_00063_632,5306459450.0,2025-12-08T15:19:55,2026-02-05T15:23:27
GPROV0000097,CRM_A,CRM_A_P_PROV_00064_890,,2026-01-17T13:41:11,2026-02-05T15:23:27
GPROV0000098,CRM_B,CRM_B_P_PROV_00064_681,,2026-01-22T08:01:19,2026-02-05T15:23:27
GPROV0000099,CRM_A,CRM_A_P_PROV_00065_256,8699281063.0,2026-01-07T14:04:24,2026-02-05T15:23:27
GPROV0000100,CRM_B,CRM_B_P_PROV_00065_230,,2026-02-04T17:54:57,2026-02-05T15:23:27
GPROV0000101,CRM_A,CRM_A_P_PROV_00066_562,2880160025.0,2026-01-13T22:32:21,2026-02-05T15:23:27
GPROV0000101,CRM_B,CRM_B_P_PROV_00066_269,2880160025.0,2025-11-30T01:03:18,2026-02-05T15:23:27
GPROV0000102,CRM_A,CRM_A_P_PROV_00067_512,,2025-12-15T23:31:17,2026-02-05T15:23:28
GPROV0000103,CRM_B,CRM_B_P_PROV_00067_639,,2026-01-19T06:11:50,2026-02-05T15:23:28
GPROV0000104,CRM_A,CRM_A_P_PROV_00068_134,8792122716.0,2025-11-17T13:55:48,2026-02-05T15:23:28
GPROV0000104,CRM_B,CRM_B_P_PROV_00068_410,8792122716.0,2025-12-30T12:56:05,2026-02-05T15:23:28
GPROV0000104,CRM_B,CRM_B_P_PROV_00068_340,8792122716.0,2026-01-04T07:09:18,2026-02-05T15:23:28
GPROV0000105,CRM_A,CRM_A_P_PROV_00069_132,,2026-01-26T19:57:25,2026-02-05T15:23:28
GPROV0000106,CRM_B,CRM_B_P_PROV_00069_518,,2026-01-04T03:04:04,2026-02-05T15:23:28
GPROV0000107,CRM_A,CRM_A_P_PROV_00070_681,,2025-10-27T20:35:20,2026-02-05T15:23:28
GPROV0000108,CRM_B,CRM_B_P_PROV_00070_246,,2025-11-12T02:08:22,2026-02-05T15:23:28
GPROV0000109,CRM_A,CRM_A_P_PROV_00071_396,1221670908.0,2025-12-20T03:33:40,2026-02-05T15:23:28
GPROV0000110,CRM_B,CRM_B_P_PROV_00071_814,,2025-12-23T20:49:44,2026-02-05T15:23:28
GPROV0000111,CRM_A,CRM_A_P_PROV_00072_417,9648665968.0,2025-12-10T02:34:35,2026-02-05T15:23:29
GPROV0000111,CRM_B,CRM_B_P_PROV_00072_569,9648665968.0,2025-10-23T05:37:54,2026-02-05T15:23:29
GPROV0000112,CRM_A,CRM_A_P_PROV_00073_499,,2026-01-02T11:04:48,2026-02-05T15:23:29
GPROV0000113,CRM_B,CRM_B_P_PROV_00073_327,,2026-01-01T22:57:45,2026-02-05T15:23:29
GPROV0000114,CRM_A,CRM_A_P_PROV_00074_560,,2025-12-03T01:06:54,2026-02-05T15:23:29
GPROV0000115,CRM_B,CRM_B_P_PROV_00074_514,,2026-01-12T01:01:01,2026-02-05T15:23:29
GPROV0000116,CRM_A,CRM_A_P_PROV_00075_117,,2026-01-26T23:48:02,2026-02-05T15:23:29
GPROV0000117,CRM_B,CRM_B_P_PROV_00075_347,,2025-10-09T09:31:06,2026-02-05T15:23:29
GPROV0000118,CRM_B,CRM_B_P_PROV_00075_269,,2025-10-27T20:30:44,2026-02-05T15:23:29
GPROV0000119,CRM_A,CRM_A_P_PROV_00076_633,5933179746.0,2026-02-11T21:43:14,2026-02-05T15:23:29
GPROV0000119,CRM_B,CRM_B_P_PROV_00076_578,5933179746.0,2025-11-30T21:25:58,2026-02-05T15:23:29
GPROV0000120,CRM_A,CRM_A_P_PROV_00077_566,8625905455.0,2026-01-22T23:02:03,2026-02-05T15:23:30
GPROV0000120,CRM_B,CRM_B_P_PROV_00077_935,8625905455.0,2025-10-24T16:36:11,2026-02-05T15:23:30
GPROV0000121,CRM_A,CRM_A_P_PROV_00078_175,,2026-02-03T07:47:11,2026-02-05T15:23:30
GPROV0000122,CRM_B,CRM_B_P_PROV_00078_124,,2025-12-31T01:31:35,2026-02-05T15:23:30
GPROV0000123,CRM_A,CRM_A_P_PROV_00079_442,,2026-01-12T13:31:19,2026-02-05T15:23:30
GPROV0000124,CRM_B,CRM_B_P_PROV_00079_483,,2025-11-07T11:29:22,2026-02-05T15:23:30
GPROV0000125,CRM_A,CRM_A_P_PROV_00080_127,,2026-01-22T06:28:46,2026-02-05T15:23:30
GPROV0000126,CRM_B,CRM_B_P_PROV_00080_284,,2025-11-22T02:42:32,2026-02-05T15:23:30
GPROV0000127,CRM_B,CRM_B_P_PROV_00080_341,,2025-11-14T07:20:30,2026-02-05T15:23:30
GPROV0000128,CRM_A,CRM_A_P_PROV_00081_811,,2025-10-16T12:54:34,2026-02-05T15:23:30
GPROV0000129,CRM_B,CRM_B_P_PROV_00081_966,,2025-11-25T11:15:03,2026-02-05T15:23:30
GPROV0000130,CRM_A,CRM_A_P_PROV_00082_257,4747699292.0,2025-11-12T15:05:17,2026-02-05T15:23:31
GPROV0000130,CRM_B,CRM_B_P_PROV_00082_883,4747699292.0,2026-01-10T19:25:45,2026-02-05T15:23:31
GPROV0000131,CRM_A,CRM_A_P_PROV_00083_472,,2025-12-21T22:44:32,2026-02-05T15:23:31
GPROV0000132,CRM_B,CRM_B_P_PROV_00083_125,,2026-01-18T11:36:53,2026-02-05T15:23:31
GPROV0000133,CRM_B,CRM_B_P_PROV_00083_939,,2025-12-15T16:21:41,2026-02-05T15:23:31
GPROV0000134,CRM_A,CRM_A_P_PROV_00084_743,3504640817.0,2026-01-22T13:10:53,2026-02-05T15:23:31
GPROV0000134,CRM_B,CRM_B_P_PROV_00084_841,3504640817.0,2025-10-20T20:21:03,2026-02-05T15:23:31
GPROV0000135,CRM_A,CRM_A_P_PROV_00085_470,,2025-11-01T02:43:26,2026-02-05T15:23:31
GPROV0000136,CRM_B,CRM_B_P_PROV_00085_149,,2026-01-29T23:41:57,2026-02-05T15:23:31
GPROV0000137,CRM_B,CRM_B_P_PROV_00085_570,,2025-10-19T02:38:34,2026-02-05T15:23:31
GPROV0000138,CRM_A,CRM_A_P_PROV_00086_183,3075362821.0,2025-11-01T01:15:25,2026-02-05T15:23:31
GPROV0000138,CRM_B,CRM_B_P_PROV_00086_739,3075362821.0,2025-12-18T03:05:47,2026-02-05T15:23:31
GPROV0000139,CRM_A,CRM_A_P_PROV_00087_175,,2025-12-11T19:18:08,2026-02-05T15:23:32
GPROV0000140,CRM_B,CRM_B_P_PROV_00087_424,,2025-12-14T10:44:53,2026-02-05T15:23:32
GPROV0000141,CRM_B,CRM_B_P_PROV_00087_520,,2026-01-18T23:11:35,2026-02-05T15:23:32
GPROV0000142,CRM_A,CRM_A_P_PROV_00088_744,,2026-02-09T06:27:21,2026-02-05T15:23:32
GPROV0000143,CRM_B,CRM_B_P_PROV_00088_722,,2025-11-16T08:04:12,2026-02-05T15:23:32
GPROV0000144,CRM_A,CRM_A_P_PROV_00089_167,8682023540.0,2025-10-11T01:10:38,2026-02-05T15:23:32
GPROV0000144,CRM_B,CRM_B_P_PROV_00089_451,8682023540.0,2025-11-12T17:24:55,2026-02-05T15:23:32
GPROV0000145,CRM_A,CRM_A_P_PROV_00090_204,9218363978.0,2025-10-24T09:18:34,2026-02-05T15:23:32
GPROV0000145,CRM_B,CRM_B_P_PROV_00090_729,9218363978.0,2025-12-26T17:13:17,2026-02-05T15:23:32
GPROV0000145,CRM_B,CRM_B_P_PROV_00090_215,9218363978.0,2025-12-11T05:29:14,2026-02-05T15:23:32
GPROV0000146,CRM_A,CRM_A_P_PROV_00091_124,5151086814.0,2026-01-15T15:55:08,2026-02-05T15:23:32
GPROV0000146,CRM_B,CRM_B_P_PROV_00091_497,5151086814.0,2025-10-29T00:38:40,2026-02-05T15:23:32
GPROV0000147,CRM_A,CRM_A_P_PROV_00092_690,2595467139.0,2025-12-16T01:45:25,2026-02-05T15:23:32
GPROV0000147,CRM_B,CRM_B_P_PROV_00092_294,2595467139.0,2026-01-08T18:39:02,2026-02-05T15:23:32
GPROV0000148,CRM_A,CRM_A_P_PROV_00093_279,,2026-01-26T04:28:18,2026-02-05T15:23:32
GPROV0000149,CRM_B,CRM_B_P_PROV_00093_915,,2025-11-04T07:22:40,2026-02-05T15:23:33
GPROV0000150,CRM_A,CRM_A_P_PROV_00094_423,5877639950.0,2025-12-21T06:09:30,2026-02-05T15:23:33
GPROV0000151,CRM_B,CRM_B_P_PROV_00094_112,,2025-12-16T07:21:11,2026-02-05T15:23:33
GPROV0000152,CRM_B,CRM_B_P_PROV_00094_131,,2026-01-09T16:23:04,2026-02-05T15:23:33
GPROV0000153,CRM_A,CRM_A_P_PROV_00095_132,,2025-12-20T09:28:10,2026-02-05T15:23:33
GPROV0000154,CRM_B,CRM_B_P_PROV_00095_623,,2025-11-25T18:53:06,2026-02-05T15:23:33
GPROV0000155,CRM_A,CRM_A_P_PROV_00096_140,8064477344.0,2025-10-20T17:43:16,2026-02-05T15:23:33
GPROV0000155,CRM_B,CRM_B_P_PROV_00096_288,8064477344.0,2025-12-22T18:31:11,2026-02-05T15:23:33
GPROV0000156,CRM_A,CRM_A_P_PROV_00097_657,3424843951.0,2025-10-23T23:08:17,2026-02-05T15:23:33
GPROV0000156,CRM_B,CRM_B_P_PROV_00097_260,3424843951.0,2025-12-25T21:32:47,2026-02-05T15:23:33
GPROV0000157,CRM_B,CRM_B_P_PROV_00097_887,,2025-12-28T04:22:40,2026-02-05T15:23:33
GPROV0000158,CRM_A,CRM_A_P_PROV_00098_113,5226368665.0,2025-10-16T17:39:42,2026-02-05T15:23:34
GPROV0000158,CRM_B,CRM_B_P_PROV_00098_130,5226368665.0,2026-01-17T03:33:33,2026-02-05T15:23:34
GPROV0000159,CRM_B,CRM_B_P_PROV_00098_799,,2026-01-11T14:03:52,2026-02-05T15:23:34
GPROV0000160,CRM_A,CRM_A_P_PROV_00099_726,6043349038.0,2026-01-20T19:26:38,2026-02-05T15:23:34
GPROV0000160,CRM_A,CRM_A_P_PROV_00099_394,6043349038.0,2025-12-09T07:03:09,2026-02-05T15:23:34
GPROV0000161,CRM_B,CRM_B_P_PROV_00099_165,,2025-10-11T14:45:22,2026-02-05T15:23:34
GPROV0000162,CRM_A,CRM_A_P_PROV_00100_197,9776185998.0,2026-01-23T11:58:18,2026-02-05T15:23:34
GPROV0000162,CRM_B,CRM_B_P_PROV_00100_813,9776185998.0,2025-11-07T15:03:14,2026-02-05T15:23:34
GPROV0000163,CRM_B,CRM_B_P_PROV_00100_925,,2025-11-13T01:45:14,2026-02-05T15:23:34
GPROV0000164,CRM_A,CRM_A_P_PROV_00101_297,2905085701.0,2025-12-13T22:12:36,2026-02-05T15:23:34
GPROV0000165,CRM_A,CRM_A_P_PROV_00102_857,,2026-01-05T11:13:12,2026-02-05T15:23:34
GPROV0000166,CRM_B,CRM_B_P_PROV_00102_710,,2025-11-01T16:43:52,2026-02-05T15:23:34
GPROV0000167,CRM_A,CRM_A_P_PROV_00103_427,,2025-10-28T18:09:45,2026-02-05T15:23:35
GPROV0000168,CRM_B,CRM_B_P_PROV_00103_120,,2026-02-02T15:17:37,2026-02-05T15:23:35
GPROV0000169,CRM_A,CRM_A_P_PROV_00104_582,,2025-12-16T05:28:48,2026-02-05T15:23:35
GPROV0000170,CRM_B,CRM_B_P_PROV_00104_476,,2025-11-19T15:56:26,2026-02-05T15:23:35
GPROV0000171,CRM_A,CRM_A_P_PROV_00104_146,,2025-12-20T02:14:54,2026-02-05T15:23:35
GPROV0000172,CRM_A,CRM_A_P_PROV_00105_607,9847550931.0,2025-12-08T09:08:51,2026-02-05T15:23:35
GPROV0000172,CRM_B,CRM_B_P_PROV_00105_876,9847550931.0,2025-11-06T12:50:11,2026-02-05T15:23:35
