source_system,provider_id_source,npi,first_name,last_name,gender,specialty,email,phone,address_line1,city,state,postal_code,country,updated_at,record_status,entity_key
CRM_A,CRM_A_P_PROV_00008_440,,Girindra,Chatterjee,F,Cardiology,,010 651 3338,"624
Krish Chowk",Mango,TS,267753,IN,2026-02-06T07:07:23,Inactive,PROV_00008
CRM_A,CRM_A_P_PROV_00009_449,5047709743,Guneet,Bedi,M,Orthopedics,chanderwarjas@example.org,+1-773-602-6064,"H.No. 68
Dubey Chowk",Sagar,NC,44973,US,2025-12-16T18:54:47,Active,PROV_00009
CRM_A,CRM_A_P_PROV_00010_566,,Teerth,Bhardwaj,F,Neurology,,7882081219,"36/193, Baral",Gurgaon,NJ,91959,US,2025-12-09T23:02:39,Active,PROV_00010
CRM_B,CRM_B_P_PROV_00010_336,,TEERTH,Bhardwaj,F,Neurology,murthydakshesh@example.org,7882081219,"36/193, Baral",Gurgaon,NJ,91959,US,2025-12-19T04:06:21,Active,PROV_00010
CRM_A,CRM_A_P_PROV_00010_104,,Teerth,Bhardwaj,F,Neurology,murthydakshesh@example.org,7882081219,"36/193, Baral",Gurgaon,NJ,91959,US,2025-10-20T01:19:38,Active,PROV_00010
CRM_A,CRM_A_P_PROV_00011_486,,Diya,Lal,F,General Medicine,diptakhare@example.com,(247) 510-7991,"38/42, Biswas Path",Uluberia,DL,916449,IN,2025-12-13T12:36:58,Active,PROV_00011
CRM_B,CRM_B_P_PROV_00011_254,,Diya,Lal,F,General Medicine,diptakhare@example.com,+1-247-510-7991,"38/42, Biswas Path",Uluberia,DL,916449,IN,2025-10-11T20:44:16,Active,PROV_00011
CRM_A,CRM_A_P_PROV_00012_750,1338258951,Bhavani,Dugar,M,Neurology,nmittal@example.net,0841241182,"H.No. 93
Jani Path",Dibrugarh,OH,79822,US,2026-02-09T03:09:18,Active,PROV_00012
CRM_B,CRM_B_P_PROV_00012_816,1338258951,B.,Dugar,M,Neurology,nmittal@example.net,084 124 1182,"H.No. 93
Jani Path",Dibrugarh,OH,79822,US,2025-10-18T06:15:54,Active,PROV_00012
CRM_A,CRM_A_P_PROV_00013_612,7900268326,Vrinda,Krishnamurthy,F,Neurology,,,"H.No. 640, Nath Nagar",Firozabad,OH,36365,US,2026-02-14T16:57:28,Active,PROV_00013
CRM_B,CRM_B_P_PROV_00013_653,7900268326,V.,Krishnamurthy,F,Neurology,,,"H.No. 640, Nath Nagar",Firozabad,OH,36365,US,2025-12-16T14:43:57,Active,PROV_00013
CRM_A,CRM_A_P_PROV_00014_344,1965067727,Neel,Sathe,U,Gastroenterology,handra@example.org,2805982620,"H.No. 05
Krish Ganj",Raichur,MI,38864,US,2025-11-22T03:44:25,Active,PROV_00014
CRM_B,CRM_B_P_PROV_00014_417,1965067727,Neel,Sathe,U,Endocrinology,handra@example.org,280.598.2620,"H.No. 05
Krish Ganj",Raichur,MI,38864,US,2025-12-31T15:47:09,Active,PROV_00014
CRM_A,CRM_A_P_PROV_00015_338,6317189421,Niharika,Dubey,F,General Medicine,nicholasgoel@example.com,256 342 1607,"754, Kapoor Ganj",Nellore,AK,84847,US,2025-12-08T00:50:13,Inactive,PROV_00015
CRM_B,CRM_B_P_PROV_00015_873,6317189421,Niharika,Dubey,F,General Medicine,nicholasgoel@example.com,256 342 1607,754 Kapoor Ganj,Nellore,AK,84847,US,2025-12-09T11:49:16,Inactive,PROV_00015
CRM_A,CRM_A_P_PROV_00016_409,7146318035,Mohini,Narasimhan,F,Oncology,ekaraj45@example.net,6850142940,"65/56, Vaidya",Kharagpur,OH,98259,US,2026-01-02T11:34:05,Active,PROV_00016
CRM_B,CRM_B_P_PROV_00016_654,7146318035,Mohini,Narasimhan,F,Oncology,ekaraj45@example.net,6850142940,"65/56, Vaidya",Kharagpur,OH,98259,US,2026-01-08T19:41:42,Active,PROV_00016
CRM_B,CRM_B_P_PROV_00016_835,7146318035,MOHINI,Narasimhan,F,Oncology,ekaraj45@example.net,6850142940,"65/56, Vaidya",Kharagpur,OH,98259,US,2025-10-23T02:51:01,Active,PROV_00016
CRM_A,CRM_A_P_PROV_00017_689,7598297060,Ranveer,Kumar,F,Pediatrics,sarinaarav@example.net,3561595148,"65/648
Handa Street",Nadiad,MD,19880,US,2026-02-04T20:07:40,Inactive,PROV_00017
CRM_B,CRM_B_P_PROV_00017_315,7598297060,Ranveer ,Kumar,F,Pediatrics,sarinaarav@example.net,3561595148,"65/648
Handa Street",Nadiad,MD,19880,US,2025-12-17T02:57:48,Inactive,PROV_00017
CRM_A,CRM_A_P_PROV_00018_693,,Owen,Mitra,F,Psychiatry,,(804) 436-9957,"38
Gara Chowk",Anantapuram,WB,197793,IN,2026-01-01T23:03:25,Active,PROV_00018
CRM_B,CRM_B_P_PROV_00018_286,,Owen,Mitra,F,Psychiatry,,804.436.9957,"38
Gara Chowk",Anantapuram,WB,197793,IN,2025-11-21T02:12:16,Active,PROV_00018
CRM_A,CRM_A_P_PROV_00019_235,6971815972,Yutika,Nayak,M,Cardiology,,3433200379,"69, Rajagopalan Ganj",Silchar,OH,82845,US,2025-11-29T09:06:45,Inactive,PROV_00019
CRM_A,CRM_A_P_PROV_00020_567,9851745355,Yagnesh,Divan,F,Pulmonology,chhabrapavani@example.org,8708317278,"98
Sehgal Marg",Fatehpur,MA,79615,US,2025-11-17T07:50:00,Active,PROV_00020
CRM_B,CRM_B_P_PROV_00020_703,9851745355,YAGNESH,Divan,F,Pulmonology,chhabrapavani@example.org,8708317278,"98
Sehgal Marg",Fatehpur,MA,79615,US,2025-12-03T06:54:08,Active,PROV_00020
CRM_A,CRM_A_P_PROV_00021_466,6305160342,Shivani,Lad,F,Oncology,aradhanaverma@examplecom,347.143.4558,"236, Kala Street",Vijayanagaram,PA,87924,US,2026-01-28T08:01:03,Active,PROV_00021
CRM_B,CRM_B_P_PROV_00021_153,,Shivani,Lad,F,Oncology,aradhanaverma@example.com,+1-347-143-4558,236 Kala Street,Vijayanagaram,PA,87924,US,2025-10-07T15:09:06,Active,PROV_00021
CRM_A,CRM_A_P_PROV_00022_123,2119980130,Nikita,Narayanan,U,Orthopedics,dsagar@example.org,6909670546,"89/37
Mahajan Ganj",Shivpuri,NJ,27154,US,2025-12-03T15:35:28,Active,PROV_00022
CRM_B,CRM_B_P_PROV_00022_796,2119980130,Nikita,Narayanan,U,Orthopedics,dsagar@example.org,6909670546,"89/37
Mahajan Ganj",Shivpuri,NJ,27154,US,2026-01-02T15:42:30,Active,PROV_00022
CRM_A,CRM_A_P_PROV_00023_295,2139027119,Ayush,Ramachandran,U,Oncology,,6272980699,"H.No. 627, Bedi Street",Nadiad,AZ,58434,US,2025-12-19T01:40:34,Active,PROV_00023
CRM_B,CRM_B_P_PROV_00023_832,,Ayush ,Ramachandran,U,Oncology,,6272980699,"H.No. 627, Bedi Street",Nadiad,AZ,58434,US,2026-01-04T06:23:38,Active,PROV_00023
CRM_A,CRM_A_P_PROV_00024_371,7676965974,Falak,Kakar,U,Psychiatry,,5564641708,"H.No. 31, Balasubramanian Nagar",Kollam,TX,44664,US,2026-01-31T10:01:46,Active,PROV_00024
CRM_B,CRM_B_P_PROV_00024_692,7676965974,Falak,Kakar,U,Psychiatry,,556.464.1708,"H.No. 31, Balasubramanian Nagar",Kollam,TX,44664,US,2026-01-22T19:43:03,Active,PROV_00024
CRM_A,CRM_A_P_PROV_00025_458,,Anmol,Dua,M,Neurology,jonathansolanki@example.net,9374529912,"H.No. 904
Prashad",Davanagere,UP,313487,IN,2025-12-11T23:36:01,Active,PROV_00025
CRM_A,CRM_A_P_PROV_00026_520,8856990236,Faqid,Kibe,F,Oncology,mitrajai@example.net,5865185067,"57, Saran Street",Nagaon,IL,44335,US,2026-02-18T12:09:41,Active,PROV_00026
CRM_B,CRM_B_P_PROV_00026_128,8856990236,FAQID,Kibe,F,Oncology,mitrajai@example.net,5865185067,57 Saran Street,Nagaon,IL,44335,US,2025-11-27T09:30:26,Active,PROV_00026
CRM_A,CRM_A_P_PROV_00027_592,3373077218,Anamika,Yohannan,U,Cardiology,bshroffexample.net,4531473799,"H.No. 07
Gopal Path",Rajpur Sonarpur,TX,15229,US,2026-01-21T17:48:44,Active,PROV_00027
CRM_B,CRM_B_P_PROV_00027_894,3373077218,Anamika,Yohannan,U,Cardiology,bshroff@example.net,4531473799,"H.No. 07
Gopal Path",Rajpur Sonarpur,TX,15229,US,2026-01-09T02:24:29,Active,PROV_00027
CRM_A,CRM_A_P_PROV_00028_263,,Isha,Kuruvilla,M,Orthopedics,ati94@examplenet,8313678377,"H.No. 143
Kohli Marg",Amaravati,GA,41029,US,2025-11-24T04:51:41,Active,PROV_00028
CRM_B,CRM_B_P_PROV_00028_277,,Isha,KURUVILLA,M,Orthopedics,ati94@example.net,+1-831-367-8377,"H.No. 143
Kohli Marg",Amaravati,GA,41029,US,2025-10-25T09:04:38,Active,PROV_00028
CRM_A,CRM_A_P_PROV_00029_691,,Jyoti,Solanki,M,Cardiology,pavani85@example.com,,"H.No. 44
Dara Ganj",Satna,WB,920391,IN,2026-01-21T06:42:13,Inactive,PROV_00029
CRM_B,CRM_B_P_PROV_00029_180,,Jyoti ,Solanki,M,Cardiology,pavani85@example.com,,"H.No. 44
Dara Ganj",Satna,WB,920391,IN,2026-02-02T12:09:15,Inactive,PROV_00029
CRM_A,CRM_A_P_PROV_00030_250,,Jagdish,Wason,F,Neurology,,4989413435,"H.No. 08, Mahal Street",Meerut,WB,501124,IN,2025-12-23T21:04:14,Active,PROV_00030
CRM_B,CRM_B_P_PROV_00030_507,,Jagdish,Wason,F,Neurology,rehaankalita@example.net,498.941.3435,"H.No. 08, Mahal Street",Meerut,WB,501124,IN,2026-01-01T21:31:28,Active,PROV_00030
CRM_A,CRM_A_P_PROV_00031_515,,Brinda,Date,M,General Medicine,achauhan@example.net,777.520.4711,"19
Doshi Nagar",Phusro,TS,338651,IN,2025-11-20T21:28:34,Active,PROV_00031
CRM_B,CRM_B_P_PROV_00031_274,,Brinda,Date,M,General Medicine,achauhan@example.net,777.520.4711,"19
Doshi Nagar",Phusro,TS,338651,IN,2026-01-03T13:55:00,Active,PROV_00031
CRM_A,CRM_A_P_PROV_00032_885,,Daksha,Chada,M,Oncology,jagatsaha@example.net,9386774964,"13/34, Dugar Zila",Malegaon,FL,80282,US,2025-11-21T09:27:28,Active,PROV_00032
CRM_B,CRM_B_P_PROV_00032_605,,Daksha,Chada,M,Oncology,jagatsaha@example.net,9386774964,"13/34, Dugar Zila",Malegaon,FL,80282,US,2025-12-19T05:28:23,Active,PROV_00032
CRM_B,CRM_B_P_PROV_00032_334,,D.,Chada,M,Oncology,jagatsaha@example.net,9386774964,"13/34, Dugar Zila",Malegaon,FL,80282,US,2025-11-20T18:22:03,Active,PROV_00032
CRM_A,CRM_A_P_PROV_00033_735,,Falan,Dugar,M,Dermatology,regeshravya@example.net,,"H.No. 03
Mandal Road",Madurai,KA,140115,IN,2026-01-04T04:36:18,Active,PROV_00033
CRM_B,CRM_B_P_PROV_00033_785,,Falan ,Dugar,M,Dermatology,regeshravya@example.net,,"H.No. 03
Mandal Road",Madurai,KA,140115,IN,2025-10-19T06:21:28,Active,PROV_00033
CRM_A,CRM_A_P_PROV_00034_258,3196545325,Vivaan,Lalla,M,Endocrinology,,242 102 4994,"H.No. 746
Tella Road",Bahraich,MI,67154,US,2026-02-05T22:16:28,Active,PROV_00034
CRM_B,CRM_B_P_PROV_00034_872,3196545325,Vivaan,Lalla,M,Endocrinology,pavanicontractor@example.net,2421024994,H.No. 746 Tella Road,Bahraich,MI,67154,US,2025-10-19T16:45:33,Active,PROV_00034
CRM_A,CRM_A_P_PROV_00035_707,2852408227,Faris,Baral,U,Psychiatry,,,"59/401
Bail Ganj",Gangtok,TX,96951,US,2025-12-10T02:38:25,Active,PROV_00035
CRM_B,CRM_B_P_PROV_00035_539,2852408227,Faris,Baral,U,Psychiatry,,,"59/401
Bail Ganj",Gangtok,TX,96951,US,2026-01-20T21:08:31,Active,PROV_00035
CRM_A,CRM_A_P_PROV_00036_268,8289454630,Banjeet,Gill,U,Endocrinology,pvenkataraman@example.com,2967175655,"567, Rattan Road",Malda,MA,59695,US,2025-12-03T07:48:19,Active,PROV_00036
CRM_A,CRM_A_P_PROV_00036_213,8289454630,Banjeet,Gill,U,Endocrinology,pvenkataraman@example.com,2967175655,"567, Rattan Road",Malda,MA,59695,US,2025-12-08T12:56:10,Active,PROV_00036
CRM_A,CRM_A_P_PROV_00037_946,8106906538,Gaurang,Murty,F,Neurology,ekiya16@example.net,8760385977,"482, Sarma Road",Bhilai,MA,72021,US,2025-12-28T03:31:17,Active,PROV_00037
CRM_B,CRM_B_P_PROV_00037_845,8106906538,Gaurang ,Murty,F,Neurology,ekiya16example.net,8760385977,482 Sarma Road,Bhilai,MA,72021,US,2025-10-10T06:51:05,Active,PROV_00037
CRM_B,CRM_B_P_PROV_00037_750,,Gaurang,Murty,F,Neurology,ekiya16@example.net,8760385977,"482, Sarma Road",Bhilai,MA,72021,US,2025-12-28T16:59:36,Active,PROV_00037
CRM_A,CRM_A_P_PROV_00038_631,4226113732,Ayush,Khatri,U,Pulmonology,deepaatwal@example.net,1317127484,"73
Dhillon Chowk",Jhansi,MA,13201,US,2025-12-28T01:17:16,Active,PROV_00038
CRM_B,CRM_B_P_PROV_00038_630,4226113732,Ayush,Khatri,U,Pulmonology,deepaatwal@example.net,1317127484,"73
Dhillon Chowk",Jhansi,MA,13201,US,2025-12-27T15:50:44,Active,PROV_00038
CRM_A,CRM_A_P_PROV_00038_376,4226113732,Ayush,Khatri,U,Pulmonology,deepaatwal@example.net,1317127484,"73
Dhillon Chowk",Jhansi,MA,13201,US,2025-11-25T03:09:18,Active,PROV_00038
CRM_A,CRM_A_P_PROV_00039_151,8285786023,Yashoda,Deshpande,F,Gastroenterology,majumdaroeshi@example.com,4044997278,"H.No. 58
Purohit Circle",Pondicherry,OH,10726,US,2026-02-01T13:17:21,Active,PROV_00039
CRM_B,CRM_B_P_PROV_00039_394,8285786023,Yashoda,Deshpande,F,Gastroenterology,majumdaroeshi@example.com,4044997278,"H.No. 58
Purohit Circle",Pondicherry,OH,10726,US,2025-12-13T19:19:02,Active,PROV_00039
CRM_A,CRM_A_P_PROV_00039_336,8285786023,Yashoda,Deshpande,F,Gastroenterology,,+1-404-499-7278,"H.No. 58
Purohit Circle",Pondicherry,OH,10726,US,2026-02-04T22:45:14,Active,PROV_00039
CRM_A,CRM_A_P_PROV_00040_202,,Ranbir,Khare,U,Orthopedics,xkaur@example.com,5766270289,"H.No. 718
Aurora Chowk",Alappuzha,TS,989545,IN,2026-01-01T01:02:13,Active,PROV_00040
CRM_B,CRM_B_P_PROV_00040_364,,Ranbir,KHARE,U,Orthopedics,xkaur@example.com,576.627.0289,"H.No. 718
Aurora Chowk",Alappuzha,TS,989545,IN,2025-12-27T21:33:38,Active,PROV_00040
CRM_B,CRM_B_P_PROV_00040_322,,Ranbir,Khare,U,Orthopedics,xkaur@example.com,5766270289,H.No. 718 Aurora Chowk,Alappuzha,TS,989545,IN,2025-11-18T15:50:47,Active,PROV_00040
CRM_A,CRM_A_P_PROV_00041_267,8995059760,Mohammed,Borde,U,Pulmonology,vlanka@example.net,6158657809,"431, Chaudhari Marg",Raiganj,NY,46347,US,2026-01-01T07:37:57,Inactive,PROV_00041
CRM_B,CRM_B_P_PROV_00041_906,8995059760,Mohammed,BORDE,U,Pulmonology,vlanka@example.net,6158657809,"431, Chaudhari Marg",Raiganj,NY,46347,US,2025-10-11T06:26:02,Inactive,PROV_00041
CRM_A,CRM_A_P_PROV_00042_355,6737421496,Ojas,Mistry,U,Neurology,,0504556238,"22/21
Raja",Mehsana,IL,60205,US,2025-10-08T20:57:24,Active,PROV_00042
CRM_B,CRM_B_P_PROV_00042_836,6737421496,OJAS,Mistry,U,Neurology,,0504556238,"22/21
Raja",Mehsana,IL,60205,US,2026-02-03T22:24:09,Active,PROV_00042
CRM_A,CRM_A_P_PROV_00043_751,1267429212,Luke,Kata,M,Orthopedics,dkumar@example.com,074 821 7594,"47/436
Chhabra Chowk",Eluru,AZ,12560,US,2025-11-23T22:34:34,Inactive,PROV_00043
CRM_B,CRM_B_P_PROV_00043_774,1267429212,Luke ,Kata,M,Orthopedics,dkumar@example.com,074 821 7594,"47/436
Chhabra Chowk",Eluru,AZ,12560,US,2025-12-26T14:29:53,Inactive,PROV_00043
CRM_A,CRM_A_P_PROV_00044_227,4856070374,Jagrati,Merchant,M,Endocrinology,anthony64@example.org,0974395339,"21/047
Patla Nagar",Mysore,MI,60968,US,2025-12-30T17:32:53,Active,PROV_00044
CRM_B,CRM_B_P_PROV_00044_736,4856070374,JAGRATI,Merchant,M,Endocrinology,anthony64@example.org,097.439.5339,"21/047
Patla Nagar",Mysore,MI,60968,US,2025-11-23T15:46:43,Active,PROV_00044
CRM_A,CRM_A_P_PROV_00045_974,,Chakrika,Narain,M,Dermatology,mgill@example.org,+1-588-424-7451,"H.No. 236
Pau Circle",Tenali,NC,96900,US,2025-12-25T02:34:04,Active,PROV_00045
CRM_B,CRM_B_P_PROV_00045_302,,Chakrika,Narain,M,Dermatology,,(588) 424-7451,"H.No. 236
Pau Circle",Tenali,NC,96900,US,2025-12-24T07:19:49,Active,PROV_00045
CRM_B,CRM_B_P_PROV_00045_151,,Chakrika,Narain,M,Dermatology,mgill@example.org,5884247451,"H.No. 236
Pau Circle",Tenali,NC,96900,US,2025-11-16T16:22:38,Active,PROV_00045
CRM_A,CRM_A_P_PROV_00046_122,6923206003,Akshay,Lalla,M,Dermatology,,(496) 513-7098,"31/74
Dada Marg",Ranchi,NJ,59692,US,2025-12-29T06:38:22,Active,PROV_00046
CRM_B,CRM_B_P_PROV_00046_228,,AKSHAY,Lalla,M,Dermatology,shajyoti@example.net,+1-496-513-7098,"31/74
Dada Marg",Ranchi,NJ,59692,US,2025-12-15T22:12:09,Active,PROV_00046
CRM_A,CRM_A_P_PROV_00047_474,,Baljiwan,Modi,F,Gastroenterology,gdalia@example.org,+1-267-586-9261,"64/05
Sawhney Ganj",Noida,WB,466960,IN,2025-10-25T22:55:32,Active,PROV_00047
CRM_A,CRM_A_P_PROV_00048_153,,Janani,Chaudhary,F,Pediatrics,jagrati06example.com,171.390.0532,"H.No. 839, Kaul Ganj",Siliguri,AK,24993,US,2026-01-01T00:52:20,Active,PROV_00048
CRM_B,CRM_B_P_PROV_00048_480,,Janani,Chaudhary,F,Psychiatry,jagrati06@example.com,(171) 390-0532,"H.No. 839, Kaul Ganj",Siliguri,AK,24993,US,2025-11-17T18:16:04,Active,PROV_00048
CRM_A,CRM_A_P_PROV_00049_622,4518871744,Aarnav,Malhotra,F,Pulmonology,,2842102053,"H.No. 240
Sama Street",Rajkot,IL,50888-7149,US,2025-10-25T20:46:04,Inactive,PROV_00049
CRM_B,CRM_B_P_PROV_00049_457,4518871744,Aarnav ,Malhotra,F,Pulmonology,,2842102053,"H.No. 240
Sama Street",Rajkot,IL,50888-7149,US,2025-10-12T23:10:52,Inactive,PROV_00049
CRM_A,CRM_A_P_PROV_00050_360,,Vamakshi,Sen,U,Psychiatry,yochana91@example.com,3908470076,"17/711
Divan Path",Cuttack,TS,416232,IN,2025-11-08T12:40:06,Active,PROV_00050
CRM_A,CRM_A_P_PROV_00051_978,,Anvi,Nair,M,Orthopedics,swali@example.com,9611836736,"66
Munshi Zila",Satara,DL,630538,IN,2025-10-31T06:49:44,Active,PROV_00051
CRM_B,CRM_B_P_PROV_00051_351,,Anvi,Nair,M,Orthopedics,swaliexample.com,+1-961-183-6736,"66
Munshi Zila",Satara,DL,630538,IN,2025-12-31T09:02:42,Active,PROV_00051
CRM_A,CRM_A_P_PROV_00052_993,,Aadhya,Prasad,F,Endocrinology,,161.528.0988,"16/560
Muni Road",Vasai-Virar,NJ,67080,US,2025-10-19T21:14:50,Active,PROV_00052
CRM_B,CRM_B_P_PROV_00052_396,,Aadhya,Prasad,F,Endocrinology,urvibhavsar@example.org,1615280988,16/560 Muni Road,Vasai-Virar,NJ,67080,US,2025-12-26T22:26:42,Active,PROV_00052
CRM_B,CRM_B_P_PROV_00052_809,,A.,Prasad,F,Pediatrics,urvibhavsar@example.org,161.528.0988,"16/560
Muni Road",Vasai-Virar,NJ,67080,US,2025-11-09T16:06:05,Active,PROV_00052
CRM_A,CRM_A_P_PROV_00053_883,7839626408,Yashica,Kala,U,Gastroenterology,vasatikakapur@exampleorg,851 493 6899,"40/24, Nori Road",Chennai,IL,46559,US,2026-02-09T19:58:40,Inactive,PROV_00053
CRM_B,CRM_B_P_PROV_00053_200,7839626408,Yashica,Kala,U,Gastroenterology,vasatikakapur@example.org,8514936899,"40/24, Nori Road",Chennai,IL,46559,US,2025-12-02T03:40:04,Inactive,PROV_00053
CRM_A,CRM_A_P_PROV_00054_495,2395925222,Pratyush,Dhar,U,Endocrinology,jboase@example.net,0183667525,"59/910
Dugar Street",Jodhpur,NY,46655,US,2025-12-31T09:43:52,Active,PROV_00054
CRM_A,CRM_A_P_PROV_00055_190,4256292393,Anita,Savant,F,Pediatrics,msunder@examplecom,4381561497,"H.No. 369
Amble Nagar",Barasat,PA,12260,US,2025-12-06T04:27:17,Active,PROV_00055
CRM_B,CRM_B_P_PROV_00055_876,,Anita,Savant,F,Pediatrics,,4381561497,"H.No. 369
Amble Nagar",Barasat,PA,12260,US,2025-12-24T09:23:04,Active,PROV_00055
CRM_A,CRM_A_P_PROV_00056_112,7575259637,Siddharth,Devan,M,Psychiatry,bimala51@example.org,6226838851,"06/071
Sanghvi Path",Erode,NC,69473,US,2025-12-19T06:31:51,Active,PROV_00056
CRM_B,CRM_B_P_PROV_00056_558,,Siddharth ,Devan,M,Psychiatry,bimala51@example.org,6226838851,"06/071
Sanghvi Path",Erode,NC,69473,US,2025-10-17T13:23:05,Active,PROV_00056
CRM_A,CRM_A_P_PROV_00057_628,1795212538,Bimala,Contractor,F,General Medicine,ubail@example.org,+1-751-613-6968,"45, Nath Ganj",Solapur,GA,78765,US,2026-01-04T08:40:00,Active,PROV_00057
CRM_B,CRM_B_P_PROV_00057_878,1795212538,Bimala,Contractor,F,General Medicine,ubail@example.org,7516136968,"45, Nath Ganj",Solapur,GA,78765,US,2025-10-14T05:00:33,Active,PROV_00057
CRM_A,CRM_A_P_PROV_00058_454,,Yashvi,Comar,F,General Medicine,ikshitapanchal@example.net,2312432921,"77/997, Naidu",Saharanpur,WB,660081,IN,2025-12-02T10:26:29,Active,PROV_00058
CRM_A,CRM_A_P_PROV_00059_369,8528185058,Ria,Bir,U,Dermatology,osathe@example.com,9058147700,"H.No. 11
Tripathi",Surendranagar Dudhrej,AK,72746,US,2025-12-22T21:03:55,Inactive,PROV_00059
CRM_B,CRM_B_P_PROV_00059_462,8528185058,Ria,Bir,U,Dermatology,osathe@example.com,905 814 7700,"H.No. 11
Tripathi",Surendranagar Dudhrej,AK,72746,US,2025-12-12T12:52:38,Inactive,PROV_00059
CRM_A,CRM_A_P_PROV_00060_312,,Benjamin,Sengupta,M,Oncology,ekantasoni@example.net,(071) 518-2037,"89/25
Mandal Path",Alappuzha,AK,17026,US,2025-10-26T10:39:07,Active,PROV_00060
CRM_A,CRM_A_P_PROV_00061_314,8578226896,Hamsini,Ben,F,Pediatrics,dominic51@example.net,6449251925,"62/914
Puri Circle",Warangal,VA,78494,US,2025-10-10T01:10:19,Inactive,PROV_00061
