source_system,provider_id_source,npi,first_name,last_name,gender,specialty,email,phone,address_line1,city,state,postal_code,country,updated_at,record_status,email_raw,phone_raw,address_raw,postal_raw
CRM_A,CRM_A_P_PROV_00006_205,1284277889.0,Vedika,Biswas,F,General Medicine,,2278248963,46/578 dara chowk,Kamarhati,AK,37869,US,2025-12-25T03:32:06,Inactive,,2278248963,"46/578, Dara Chowk",37869
CRM_B,CRM_B_P_PROV_00006_539,1284277889.0,Vedika,Biswas,F,General Medicine,,2278248963,46/578 dara chowk,Kamarhati,AK,37869,US,2026-01-03T01:34:29,Inactive,,(227) 824-8963,46/578 Dara Chowk,37869
CRM_B,CRM_B_P_PROV_00006_133,1284277889.0,Vedika,Biswas,F,Neurology,,2278248963,46/578 dara chowk,Kamarhati,AK,37869,US,2025-10-26T03:14:10,Inactive,,2278248963,"46/578, Dara Chowk",37869
CRM_A,CRM_A_P_PROV_00007_444,7609857128.0,Devansh,Nigam,F,Pediatrics,karpethomas@example.org,0310518347,29/97 solanki ganj,Jhansi,NY,57447,US,2025-11-18T23:23:39,Active,karpethomas@example.org,0310518347,"29/97, Solanki Ganj",57447
CRM_B,CRM_B_P_PROV_00007_202,,Devansh,Nigam,F,Endocrinology,karpethomas@example.org,0310518347,29/97 solanki ganj,Jhansi,NY,57447,US,2025-11-25T03:03:48,Active,karpethomas@example.org,0310518347,"29/97, Solanki Ganj",57447
CRM_A,CRM_A_P_PROV_00008_440,,Girindra,Chatterjee,F,Cardiology,,0106513338,624 krish chowk,Mango,TS,267753,IN,2026-02-06T07:07:23,Inactive,,010 651 3338,"624
Krish Chowk",267753
CRM_A,CRM_A_P_PROV_00009_449,5047709743.0,Guneet,Bedi,M,Orthopedics,chanderwarjas@example.org,7736026064,h.no. 68 dubey chowk,Sagar,NC,44973,US,2025-12-16T18:54:47,Active,chanderwarjas@example.org,+1-773-602-6064,"H.No. 68
Dubey Chowk",44973
CRM_A,CRM_A_P_PROV_00010_566,,Teerth,Bhardwaj,F,Neurology,,7882081219,36/193 baral,Gurgaon,NJ,91959,US,2025-12-09T23:02:39,Active,,7882081219,"36/193, Baral",91959
CRM_B,CRM_B_P_PROV_00010_336,,Teerth,Bhardwaj,F,Neurology,murthydakshesh@example.org,7882081219,36/193 baral,Gurgaon,NJ,91959,US,2025-12-19T04:06:21,Active,murthydakshesh@example.org,7882081219,"36/193, Baral",91959
CRM_A,CRM_A_P_PROV_00010_104,,Teerth,Bhardwaj,F,Neurology,murthydakshesh@example.org,7882081219,36/193 baral,Gurgaon,NJ,91959,US,2025-10-20T01:19:38,Active,murthydakshesh@example.org,7882081219,"36/193, Baral",91959
CRM_A,CRM_A_P_PROV_00011_486,,Diya,Lal,F,General Medicine,diptakhare@example.com,2475107991,38/42 biswas path,Uluberia,DL,916449,IN,2025-12-13T12:36:58,Active,diptakhare@example.com,(247) 510-7991,"38/42, Biswas Path",916449
CRM_B,CRM_B_P_PROV_00011_254,,Diya,Lal,F,General Medicine,diptakhare@example.com,2475107991,38/42 biswas path,Uluberia,DL,916449,IN,2025-10-11T20:44:16,Active,diptakhare@example.com,+1-247-510-7991,"38/42, Biswas Path",916449
CRM_A,CRM_A_P_PROV_00012_750,1338258951.0,Bhavani,Dugar,M,Neurology,nmittal@example.net,0841241182,h.no. 93 jani path,Dibrugarh,OH,79822,US,2026-02-09T03:09:18,Active,nmittal@example.net,0841241182,"H.No. 93
Jani Path",79822
CRM_B,CRM_B_P_PROV_00012_816,1338258951.0,B.,Dugar,M,Neurology,nmittal@example.net,0841241182,h.no. 93 jani path,Dibrugarh,OH,79822,US,2025-10-18T06:15:54,Active,nmittal@example.net,084 124 1182,"H.No. 93
Jani Path",79822
CRM_A,CRM_A_P_PROV_00013_612,7900268326.0,Vrinda,Krishnamurthy,F,Neurology,,,h.no. 640 nath nagar,Firozabad,OH,36365,US,2026-02-14T16:57:28,Active,,,"H.No. 640, Nath Nagar",36365
CRM_B,CRM_B_P_PROV_00013_653,7900268326.0,V.,Krishnamurthy,F,Neurology,,,h.no. 640 nath nagar,Firozabad,OH,36365,US,2025-12-16T14:43:57,Active,,,"H.No. 640, Nath Nagar",36365
CRM_A,CRM_A_P_PROV_00014_344,1965067727.0,Neel,Sathe,U,Gastroenterology,handra@example.org,2805982620,h.no. 05 krish ganj,Raichur,MI,38864,US,2025-11-22T03:44:25,Active,handra@example.org,2805982620,"H.No. 05
Krish Ganj",38864
CRM_B,CRM_B_P_PROV_00014_417,1965067727.0,Neel,Sathe,U,Endocrinology,handra@example.org,2805982620,h.no. 05 krish ganj,Raichur,MI,38864,US,2025-12-31T15:47:09,Active,handra@example.org,280.598.2620,"H.No. 05
Krish Ganj",38864
CRM_A,CRM_A_P_PROV_00015_338,6317189421.0,Niharika,Dubey,F,General Medicine,nicholasgoel@example.com,2563421607,754 kapoor ganj,Nellore,AK,84847,US,2025-12-08T00:50:13,Inactive,nicholasgoel@example.com,256 342 1607,"754, Kapoor Ganj",84847
CRM_B,CRM_B_P_PROV_00015_873,6317189421.0,Niharika,Dubey,F,General Medicine,nicholasgoel@example.com,2563421607,754 kapoor ganj,Nellore,AK,84847,US,2025-12-09T11:49:16,Inactive,nicholasgoel@example.com,256 342 1607,754 Kapoor Ganj,84847
CRM_A,CRM_A_P_PROV_00016_409,7146318035.0,Mohini,Narasimhan,F,Oncology,ekaraj45@example.net,6850142940,65/56 vaidya,Kharagpur,OH,98259,US,2026-01-02T11:34:05,Active,ekaraj45@example.net,6850142940,"65/56, Vaidya",98259
CRM_B,CRM_B_P_PROV_00016_654,7146318035.0,Mohini,Narasimhan,F,Oncology,ekaraj45@example.net,6850142940,65/56 vaidya,Kharagpur,OH,98259,US,2026-01-08T19:41:42,Active,ekaraj45@example.net,6850142940,"65/56, Vaidya",98259
CRM_B,CRM_B_P_PROV_00016_835,7146318035.0,Mohini,Narasimhan,F,Oncology,ekaraj45@example.net,6850142940,65/56 vaidya,Kharagpur,OH,98259,US,2025-10-23T02:51:01,Active,ekaraj45@example.net,6850142940,"65/56, Vaidya",98259
CRM_A,CRM_A_P_PROV_00017_689,7598297060.0,Ranveer,Kumar,F,Pediatrics,sarinaarav@example.net,3561595148,65/648 handa street,Nadiad,MD,19880,US,2026-02-04T20:07:40,Inactive,sarinaarav@example.net,3561595148,"65/648
Handa Street",19880
CRM_B,CRM_B_P_PROV_00017_315,7598297060.0,Ranveer,Kumar,F,Pediatrics,sarinaarav@example.net,3561595148,65/648 handa street,Nadiad,MD,19880,US,2025-12-17T02:57:48,Inactive,sarinaarav@example.net,3561595148,"65/648
Handa Street",19880
CRM_A,CRM_A_P_PROV_00018_693,,Owen,Mitra,F,Psychiatry,,8044369957,38 gara chowk,Anantapuram,WB,197793,IN,2026-01-01T23:03:25,Active,,(804) 436-9957,"38
Gara Chowk",197793
CRM_B,CRM_B_P_PROV_00018_286,,Owen,Mitra,F,Psychiatry,,8044369957,38 gara chowk,Anantapuram,WB,197793,IN,2025-11-21T02:12:16,Active,,804.436.9957,"38
Gara Chowk",197793
CRM_A,CRM_A_P_PROV_00019_235,6971815972.0,Yutika,Nayak,M,Cardiology,,3433200379,69 rajagopalan ganj,Silchar,OH,82845,US,2025-11-29T09:06:45,Inactive,,3433200379,"69, Rajagopalan Ganj",82845
CRM_A,CRM_A_P_PROV_00020_567,9851745355.0,Yagnesh,Divan,F,Pulmonology,chhabrapavani@example.org,8708317278,98 sehgal marg,Fatehpur,MA,79615,US,2025-11-17T07:50:00,Active,chhabrapavani@example.org,8708317278,"98
Sehgal Marg",79615
CRM_B,CRM_B_P_PROV_00020_703,9851745355.0,Yagnesh,Divan,F,Pulmonology,chhabrapavani@example.org,8708317278,98 sehgal marg,Fatehpur,MA,79615,US,2025-12-03T06:54:08,Active,chhabrapavani@example.org,8708317278,"98
Sehgal Marg",79615
CRM_A,CRM_A_P_PROV_00021_466,6305160342.0,Shivani,Lad,F,Oncology,,3471434558,236 kala street,Vijayanagaram,PA,87924,US,2026-01-28T08:01:03,Active,aradhanaverma@examplecom,347.143.4558,"236, Kala Street",87924
CRM_B,CRM_B_P_PROV_00021_153,,Shivani,Lad,F,Oncology,aradhanaverma@example.com,3471434558,236 kala street,Vijayanagaram,PA,87924,US,2025-10-07T15:09:06,Active,aradhanaverma@example.com,+1-347-143-4558,236 Kala Street,87924
CRM_A,CRM_A_P_PROV_00022_123,2119980130.0,Nikita,Narayanan,U,Orthopedics,dsagar@example.org,6909670546,89/37 mahajan ganj,Shivpuri,NJ,27154,US,2025-12-03T15:35:28,Active,dsagar@example.org,6909670546,"89/37
Mahajan Ganj",27154
CRM_B,CRM_B_P_PROV_00022_796,2119980130.0,Nikita,Narayanan,U,Orthopedics,dsagar@example.org,6909670546,89/37 mahajan ganj,Shivpuri,NJ,27154,US,2026-01-02T15:42:30,Active,dsagar@example.org,6909670546,"89/37
Mahajan Ganj",27154
CRM_A,CRM_A_P_PROV_00023_295,2139027119.0,Ayush,Ramachandran,U,Oncology,,6272980699,h.no. 627 bedi street,Nadiad,AZ,58434,US,2025-12-19T01:40:34,Active,,6272980699,"H.No. 627, Bedi Street",58434
CRM_B,CRM_B_P_PROV_00023_832,,Ayush,Ramachandran,U,Oncology,,6272980699,h.no. 627 bedi street,Nadiad,AZ,58434,US,2026-01-04T06:23:38,Active,,6272980699,"H.No. 627, Bedi Street",58434
CRM_A,CRM_A_P_PROV_00024_371,7676965974.0,Falak,Kakar,U,Psychiatry,,5564641708,h.no. 31 balasubramanian nagar,Kollam,TX,44664,US,2026-01-31T10:01:46,Active,,5564641708,"H.No. 31, Balasubramanian Nagar",44664
CRM_B,CRM_B_P_PROV_00024_692,7676965974.0,Falak,Kakar,U,Psychiatry,,5564641708,h.no. 31 balasubramanian nagar,Kollam,TX,44664,US,2026-01-22T19:43:03,Active,,556.464.1708,"H.No. 31, Balasubramanian Nagar",44664
CRM_A,CRM_A_P_PROV_00025_458,,Anmol,Dua,M,Neurology,jonathansolanki@example.net,9374529912,h.no. 904 prashad,Davanagere,UP,313487,IN,2025-12-11T23:36:01,Active,jonathansolanki@example.net,9374529912,"H.No. 904
Prashad",313487
CRM_A,CRM_A_P_PROV_00026_520,8856990236.0,Faqid,Kibe,F,Oncology,mitrajai@example.net,5865185067,57 saran street,Nagaon,IL,44335,US,2026-02-18T12:09:41,Active,mitrajai@example.net,5865185067,"57, Saran Street",44335
CRM_B,CRM_B_P_PROV_00026_128,8856990236.0,Faqid,Kibe,F,Oncology,mitrajai@example.net,5865185067,57 saran street,Nagaon,IL,44335,US,2025-11-27T09:30:26,Active,mitrajai@example.net,5865185067,57 Saran Street,44335
CRM_A,CRM_A_P_PROV_00027_592,3373077218.0,Anamika,Yohannan,U,Cardiology,,4531473799,h.no. 07 gopal path,Rajpur Sonarpur,TX,15229,US,2026-01-21T17:48:44,Active,bshroffexample.net,4531473799,"H.No. 07
Gopal Path",15229
CRM_B,CRM_B_P_PROV_00027_894,3373077218.0,Anamika,Yohannan,U,Cardiology,bshroff@example.net,4531473799,h.no. 07 gopal path,Rajpur Sonarpur,TX,15229,US,2026-01-09T02:24:29,Active,bshroff@example.net,4531473799,"H.No. 07
Gopal Path",15229
CRM_A,CRM_A_P_PROV_00028_263,,Isha,Kuruvilla,M,Orthopedics,,8313678377,h.no. 143 kohli marg,Amaravati,GA,41029,US,2025-11-24T04:51:41,Active,ati94@examplenet,8313678377,"H.No. 143
Kohli Marg",41029
CRM_B,CRM_B_P_PROV_00028_277,,Isha,Kuruvilla,M,Orthopedics,ati94@example.net,8313678377,h.no. 143 kohli marg,Amaravati,GA,41029,US,2025-10-25T09:04:38,Active,ati94@example.net,+1-831-367-8377,"H.No. 143
Kohli Marg",41029
CRM_A,CRM_A_P_PROV_00029_691,,Jyoti,Solanki,M,Cardiology,pavani85@example.com,,h.no. 44 dara ganj,Satna,WB,920391,IN,2026-01-21T06:42:13,Inactive,pavani85@example.com,,"H.No. 44
Dara Ganj",920391
CRM_B,CRM_B_P_PROV_00029_180,,Jyoti,Solanki,M,Cardiology,pavani85@example.com,,h.no. 44 dara ganj,Satna,WB,920391,IN,2026-02-02T12:09:15,Inactive,pavani85@example.com,,"H.No. 44
Dara Ganj",920391
CRM_A,CRM_A_P_PROV_00030_250,,Jagdish,Wason,F,Neurology,,4989413435,h.no. 08 mahal street,Meerut,WB,501124,IN,2025-12-23T21:04:14,Active,,4989413435,"H.No. 08, Mahal Street",501124
CRM_B,CRM_B_P_PROV_00030_507,,Jagdish,Wason,F,Neurology,rehaankalita@example.net,4989413435,h.no. 08 mahal street,Meerut,WB,501124,IN,2026-01-01T21:31:28,Active,rehaankalita@example.net,498.941.3435,"H.No. 08, Mahal Street",501124
CRM_A,CRM_A_P_PROV_00031_515,,Brinda,Date,M,General Medicine,achauhan@example.net,7775204711,19 doshi nagar,Phusro,TS,338651,IN,2025-11-20T21:28:34,Active,achauhan@example.net,777.520.4711,"19
Doshi Nagar",338651
CRM_B,CRM_B_P_PROV_00031_274,,Brinda,Date,M,General Medicine,achauhan@example.net,7775204711,19 doshi nagar,Phusro,TS,338651,IN,2026-01-03T13:55:00,Active,achauhan@example.net,777.520.4711,"19
Doshi Nagar",338651
CRM_A,CRM_A_P_PROV_00032_885,,Daksha,Chada,M,Oncology,jagatsaha@example.net,9386774964,13/34 dugar zila,Malegaon,FL,80282,US,2025-11-21T09:27:28,Active,jagatsaha@example.net,9386774964,"13/34, Dugar Zila",80282
CRM_B,CRM_B_P_PROV_00032_605,,Daksha,Chada,M,Oncology,jagatsaha@example.net,9386774964,13/34 dugar zila,Malegaon,FL,80282,US,2025-12-19T05:28:23,Active,jagatsaha@example.net,9386774964,"13/34, Dugar Zila",80282
CRM_B,CRM_B_P_PROV_00032_334,,D.,Chada,M,Oncology,jagatsaha@example.net,9386774964,13/34 dugar zila,Malegaon,FL,80282,US,2025-11-20T18:22:03,Active,jagatsaha@example.net,9386774964,"13/34, Dugar Zila",80282
CRM_A,CRM_A_P_PROV_00033_735,,Falan,Dugar,M,Dermatology,regeshravya@example.net,,h.no. 03 mandal road,Madurai,KA,140115,IN,2026-01-04T04:36:18,Active,regeshravya@example.net,,"H.No. 03
Mandal Road",140115
CRM_B,CRM_B_P_PROV_00033_785,,Falan,Dugar,M,Dermatology,regeshravya@example.net,,h.no. 03 mandal road,Madurai,KA,140115,IN,2025-10-19T06:21:28,Active,regeshravya@example.net,,"H.No. 03
Mandal Road",140115
CRM_A,CRM_A_P_PROV_00034_258,3196545325.0,Vivaan,Lalla,M,Endocrinology,,2421024994,h.no. 746 tella road,Bahraich,MI,67154,US,2026-02-05T22:16:28,Active,,242 102 4994,"H.No. 746
Tella Road",67154
CRM_B,CRM_B_P_PROV_00034_872,3196545325.0,Vivaan,Lalla,M,Endocrinology,pavanicontractor@example.net,2421024994,h.no. 746 tella road,Bahraich,MI,67154,US,2025-10-19T16:45:33,Active,pavanicontractor@example.net,2421024994,H.No. 746 Tella Road,67154
CRM_A,CRM_A_P_PROV_00035_707,2852408227.0,Faris,Baral,U,Psychiatry,,,59/401 bail ganj,Gangtok,TX,96951,US,2025-12-10T02:38:25,Active,,,"59/401
Bail Ganj",96951
CRM_B,CRM_B_P_PROV_00035_539,2852408227.0,Faris,Baral,U,Psychiatry,,,59/401 bail ganj,Gangtok,TX,96951,US,2026-01-20T21:08:31,Active,,,"59/401
Bail Ganj",96951
CRM_A,CRM_A_P_PROV_00036_268,8289454630.0,Banjeet,Gill,U,Endocrinology,pvenkataraman@example.com,2967175655,567 rattan road,Malda,MA,59695,US,2025-12-03T07:48:19,Active,pvenkataraman@example.com,2967175655,"567, Rattan Road",59695
CRM_A,CRM_A_P_PROV_00036_213,8289454630.0,Banjeet,Gill,U,Endocrinology,pvenkataraman@example.com,2967175655,567 rattan road,Malda,MA,59695,US,2025-12-08T12:56:10,Active,pvenkataraman@example.com,2967175655,"567, Rattan Road",59695
CRM_A,CRM_A_P_PROV_00037_946,8106906538.0,Gaurang,Murty,F,Neurology,ekiya16@example.net,8760385977,482 sarma road,Bhilai,MA,72021,US,2025-12-28T03:31:17,Active,ekiya16@example.net,8760385977,"482, Sarma Road",72021
CRM_B,CRM_B_P_PROV_00037_845,8106906538.0,Gaurang,Murty,F,Neurology,,8760385977,482 sarma road,Bhilai,MA,72021,US,2025-10-10T06:51:05,Active,ekiya16example.net,8760385977,482 Sarma Road,72021
CRM_B,CRM_B_P_PROV_00037_750,,Gaurang,Murty,F,Neurology,ekiya16@example.net,8760385977,482 sarma road,Bhilai,MA,72021,US,2025-12-28T16:59:36,Active,ekiya16@example.net,8760385977,"482, Sarma Road",72021
CRM_A,CRM_A_P_PROV_00038_631,4226113732.0,Ayush,Khatri,U,Pulmonology,deepaatwal@example.net,1317127484,73 dhillon chowk,Jhansi,MA,13201,US,2025-12-28T01:17:16,Active,deepaatwal@example.net,1317127484,"73
Dhillon Chowk",13201
CRM_B,CRM_B_P_PROV_00038_630,4226113732.0,Ayush,Khatri,U,Pulmonology,deepaatwal@example.net,1317127484,73 dhillon chowk,Jhansi,MA,13201,US,2025-12-27T15:50:44,Active,deepaatwal@example.net,1317127484,"73
Dhillon Chowk",13201
CRM_A,CRM_A_P_PROV_00038_376,4226113732.0,Ayush,Khatri,U,Pulmonology,deepaatwal@example.net,1317127484,73 dhillon chowk,Jhansi,MA,13201,US,2025-11-25T03:09:18,Active,deepaatwal@example.net,1317127484,"73
Dhillon Chowk",13201
CRM_A,CRM_A_P_PROV_00039_151,8285786023.0,Yashoda,Deshpande,F,Gastroenterology,majumdaroeshi@example.com,4044997278,h.no. 58 purohit circle,Pondicherry,OH,10726,US,2026-02-01T13:17:21,Active,majumdaroeshi@example.com,4044997278,"H.No. 58
Purohit Circle",10726
CRM_B,CRM_B_P_PROV_00039_394,8285786023.0,Yashoda,Deshpande,F,Gastroenterology,majumdaroeshi@example.com,4044997278,h.no. 58 purohit circle,Pondicherry,OH,10726,US,2025-12-13T19:19:02,Active,majumdaroeshi@example.com,4044997278,"H.No. 58
Purohit Circle",10726
CRM_A,CRM_A_P_PROV_00039_336,8285786023.0,Yashoda,Deshpande,F,Gastroenterology,,4044997278,h.no. 58 purohit circle,Pondicherry,OH,10726,US,2026-02-04T22:45:14,Active,,+1-404-499-7278,"H.No. 58
Purohit Circle",10726
CRM_A,CRM_A_P_PROV_00040_202,,Ranbir,Khare,U,Orthopedics,xkaur@example.com,5766270289,h.no. 718 aurora chowk,Alappuzha,TS,989545,IN,2026-01-01T01:02:13,Active,xkaur@example.com,5766270289,"H.No. 718
Aurora Chowk",989545
CRM_B,CRM_B_P_PROV_00040_364,,Ranbir,Khare,U,Orthopedics,xkaur@example.com,5766270289,h.no. 718 aurora chowk,Alappuzha,TS,989545,IN,2025-12-27T21:33:38,Active,xkaur@example.com,576.627.0289,"H.No. 718
Aurora Chowk",989545
CRM_B,CRM_B_P_PROV_00040_322,,Ranbir,Khare,U,Orthopedics,xkaur@example.com,5766270289,h.no. 718 aurora chowk,Alappuzha,TS,989545,IN,2025-11-18T15:50:47,Active,xkaur@example.com,5766270289,H.No. 718 Aurora Chowk,989545
CRM_A,CRM_A_P_PROV_00041_267,8995059760.0,Mohammed,Borde,U,Pulmonology,vlanka@example.net,6158657809,431 chaudhari marg,Raiganj,NY,46347,US,2026-01-01T07:37:57,Inactive,vlanka@example.net,6158657809,"431, Chaudhari Marg",46347
CRM_B,CRM_B_P_PROV_00041_906,8995059760.0,Mohammed,Borde,U,Pulmonology,vlanka@example.net,6158657809,431 chaudhari marg,Raiganj,NY,46347,US,2025-10-11T06:26:02,Inactive,vlanka@example.net,6158657809,"431, Chaudhari Marg",46347
CRM_A,CRM_A_P_PROV_00042_355,6737421496.0,Ojas,Mistry,U,Neurology,,0504556238,22/21 raja,Mehsana,IL,60205,US,2025-10-08T20:57:24,Active,,0504556238,"22/21
Raja",60205
CRM_B,CRM_B_P_PROV_00042_836,6737421496.0,Ojas,Mistry,U,Neurology,,0504556238,22/21 raja,Mehsana,IL,60205,US,2026-02-03T22:24:09,Active,,0504556238,"22/21
Raja",60205
CRM_A,CRM_A_P_PROV_00043_751,1267429212.0,Luke,Kata,M,Orthopedics,dkumar@example.com,0748217594,47/436 chhabra chowk,Eluru,AZ,12560,US,2025-11-23T22:34:34,Inactive,dkumar@example.com,074 821 7594,"47/436
Chhabra Chowk",12560
CRM_B,CRM_B_P_PROV_00043_774,1267429212.0,Luke,Kata,M,Orthopedics,dkumar@example.com,0748217594,47/436 chhabra chowk,Eluru,AZ,12560,US,2025-12-26T14:29:53,Inactive,dkumar@example.com,074 821 7594,"47/436
Chhabra Chowk",12560
CRM_A,CRM_A_P_PROV_00044_227,4856070374.0,Jagrati,Merchant,M,Endocrinology,anthony64@example.org,0974395339,21/047 patla nagar,Mysore,MI,60968,US,2025-12-30T17:32:53,Active,anthony64@example.org,0974395339,"21/047
Patla Nagar",60968
CRM_B,CRM_B_P_PROV_00044_736,4856070374.0,Jagrati,Merchant,M,Endocrinology,anthony64@example.org,0974395339,21/047 patla nagar,Mysore,MI,60968,US,2025-11-23T15:46:43,Active,anthony64@example.org,097.439.5339,"21/047
Patla Nagar",60968
CRM_A,CRM_A_P_PROV_00045_974,,Chakrika,Narain,M,Dermatology,mgill@example.org,5884247451,h.no. 236 pau circle,Tenali,NC,96900,US,2025-12-25T02:34:04,Active,mgill@example.org,+1-588-424-7451,"H.No. 236
Pau Circle",96900
CRM_B,CRM_B_P_PROV_00045_302,,Chakrika,Narain,M,Dermatology,,5884247451,h.no. 236 pau circle,Tenali,NC,96900,US,2025-12-24T07:19:49,Active,,(588) 424-7451,"H.No. 236
Pau Circle",96900
CRM_B,CRM_B_P_PROV_00045_151,,Chakrika,Narain,M,Dermatology,mgill@example.org,5884247451,h.no. 236 pau circle,Tenali,NC,96900,US,2025-11-16T16:22:38,Active,mgill@example.org,5884247451,"H.No. 236
Pau Circle",96900
CRM_A,CRM_A_P_PROV_00046_122,6923206003.0,Akshay,Lalla,M,Dermatology,,4965137098,31/74 dada marg,Ranchi,NJ,59692,US,2025-12-29T06:38:22,Active,,(496) 513-7098,"31/74
Dada Marg",59692
CRM_B,CRM_B_P_PROV_00046_228,,Akshay,Lalla,M,Dermatology,shajyoti@example.net,4965137098,31/74 dada marg,Ranchi,NJ,59692,US,2025-12-15T22:12:09,Active,shajyoti@example.net,+1-496-513-7098,"31/74
Dada Marg",59692
CRM_A,CRM_A_P_PROV_00047_474,,Baljiwan,Modi,F,Gastroenterology,gdalia@example.org,2675869261,64/05 sawhney ganj,Noida,WB,466960,IN,2025-10-25T22:55:32,Active,gdalia@example.org,+1-267-586-9261,"64/05
Sawhney Ganj",466960
CRM_A,CRM_A_P_PROV_00048_153,,Janani,Chaudhary,F,Pediatrics,,1713900532,h.no. 839 kaul ganj,Siliguri,AK,24993,US,2026-01-01T00:52:20,Active,jagrati06example.com,171.390.0532,"H.No. 839, Kaul Ganj",24993
CRM_B,CRM_B_P_PROV_00048_480,,Janani,Chaudhary,F,Psychiatry,jagrati06@example.com,1713900532,h.no. 839 kaul ganj,Siliguri,AK,24993,US,2025-11-17T18:16:04,Active,jagrati06@example.com,(171) 390-0532,"H.No. 839, Kaul Ganj",24993
CRM_A,CRM_A_P_PROV_00049_622,4518871744.0,Aarnav,Malhotra,F,Pulmonology,,2842102053,h.no. 240 sama street,Rajkot,IL,50888,US,2025-10-25T20:46:04,Inactive,,2842102053,"H.No. 240
Sama Street",50888-7149
CRM_B,CRM_B_P_PROV_00049_457,4518871744.0,Aarnav,Malhotra,F,Pulmonology,,2842102053,h.no. 240 sama street,Rajkot,IL,50888,US,2025-10-12T23:10:52,Inactive,,2842102053,"H.No. 240
Sama Street",50888-7149
